id,business_name,sector,lga,annual_revenue,employee_count,registered
70,Spencer LLC,Tech,Kosofe,432792596,119,True
71,Kirby-Jones,Tech,Lekki,133397082,384,False
72,"Gallagher, Kline and Lee",Retail,Somolu,113365823,196,False
73,Lee-Curtis,Tech,Amuwo-Odofin,177029439,443,False
74,Moore-Pearson,Real Estate,Surulere,388017626,103,False
75,Martin-James,Finance,Ajah,285893038,70,True
76,"Navarro, Conley and Barajas",Tech,Ifako-Ijaiye,12988065,146,False
77,"Morgan, Pitts and Snow",Tech,Surulere,178974632,344,False
78,"Parks, Hoffman and Elliott",Finance,Mushin,493089539,175,False
79,Freeman and Sons,Manufacturing,Shomolu,158847876,104,True
80,Morales-Brown,Manufacturing,Ikorodu,367540282,442,True
81,"Colon, Schaefer and King",Finance,Somolu,172612262,450,True
82,Smith-Bell,Retail,Surulere,395452600,191,True
83,Osborn LLC,Retail,Agege,372378701,421,True
84,"Franklin, Hayden and Harmon",Manufacturing,Badagry,96267788,416,True
85,"Wilson, Johnson and Moody",Tech,Mushin,293506015,117,True
86,Nguyen Inc,Real Estate,Agege,340133094,112,True
87,Matthews Inc,Real Estate,Mushin,184995104,325,False
88,"Mason, Chapman and George",Manufacturing,Agege,447995599,329,True
89,"Newman, Miller and Mcconnell",Manufacturing,Ifako-Ijaiye,442786802,438,False
90,"Escobar, Morton and Flores",Manufacturing,Epe,447504426,177,False
91,"Robinson, Lee and Reyes",Manufacturing,Eti-Osa,156660388,262,False
92,"Smith, Roberson and Johns",Real Estate,Victoria Island,153056529,233,True
93,"Thompson, Burns and Jacobson",Finance,Lekki,182023231,25,False
94,"Thompson, Martin and Blake",Finance,Ifako-Ijaiye,408507717,402,True
95,Torres Inc,Manufacturing,Shomolu,327251338,301,True
96,Simpson PLC,Finance,Apapa,241124027,404,True
97,Moss-Rodriguez,Manufacturing,Kosofe,433213700,327,False
98,Morgan-Brown,Tech,Alimosho,206422633,218,False
99,Munoz-Fields,Tech,Eti-Osa,396469121,95,True
100,Perez-Hale,Manufacturing,Shomolu,96177085,331,False
101,Chandler-Murphy,Real Estate,Ikorodu,251162070,314,True
102,Chase Inc,Tech,Ikeja,218745008,490,True
103,Smith Ltd,Real Estate,Eti-Osa,380398153,376,True
104,"Lee, Wise and Day",Manufacturing,Ifako-Ijaiye,177694928,139,False
105,Rangel-Franklin,Tech,Oshodi-Isolo,243226500,270,True
106,Fox LLC,Manufacturing,Ikeja,467547550,281,True
107,"Wood, Smith and Mccoy",Real Estate,Ikeja,377548528,405,False
108,"Perez, Ingram and Schwartz",Retail,Ajah,388530224,100,False
109,Stafford PLC,Tech,Ikorodu,229678400,326,True
110,"Dunn, Craig and Clark",Finance,Amuwo-Odofin,354969773,351,False
111,Hansen LLC,Tech,Victoria Island,280508032,275,False
112,Walters-Norris,Manufacturing,Lekki,238384529,146,True
113,Lang and Sons,Manufacturing,Ikorodu,497474932,402,True
114,"Mcgrath, Thompson and Vasquez",Real Estate,Shomolu,245343980,205,False
115,"Taylor, Brown and York",Tech,Kosofe,484479995,269,True
116,Golden Group,Real Estate,Eti-Osa,44793506,249,True
117,James-Matthews,Manufacturing,Amuwo-Odofin,184265818,243,False
118,Choi Group,Real Estate,Badagry,281499645,145,False
119,Miller Group,Real Estate,Shomolu,56730761,67,False
120,Mcpherson and Sons,Retail,Eti-Osa,353647957,103,False
121,Clark Ltd,Retail,Epe,357053227,238,False
122,Thomas-Herman,Real Estate,Epe,361447393,139,True
123,"Johnson, Miller and Beck",Real Estate,Ikeja,123874110,62,False
124,"Bennett, Miles and Beck",Manufacturing,Shomolu,123542591,376,False
125,Horton PLC,Retail,Ifako-Ijaiye,179258196,237,False
126,"Burch, Fleming and Swanson",Retail,Epe,38161001,492,True
127,Lee and Sons,Manufacturing,Shomolu,275194263,414,False
128,Pratt Group,Finance,Agege,232892034,279,False
129,"Boyd, Young and Sullivan",Tech,Surulere,173173972,107,False
130,"Ponce, Lee and Jones",Tech,Somolu,346585041,169,False
131,"Ortega, Graham and Gomez",Manufacturing,Yaba,142650508,474,True
132,Smith-Frey,Real Estate,Ifako-Ijaiye,448188490,188,False
133,Davis Group,Real Estate,Victoria Island,372314189,105,True
134,Carpenter LLC,Tech,Apapa,108174087,261,True
135,Fritz-Brown,Retail,Ifako-Ijaiye,174765086,393,True
136,"Baker, Cordova and Simpson",Real Estate,Ajah,277791874,214,True
137,"Nguyen, Gross and Saunders",Real Estate,Kosofe,296672639,133,False
138,Huerta-Wolf,Finance,Surulere,449870576,483,True
139,Mora PLC,Retail,Ikeja,201451230,318,True
140,Hill-Jackson,Tech,Eti-Osa,207564230,427,True
141,Wright-Sandoval,Real Estate,Apapa,225543230,134,True
142,Cline PLC,Tech,Epe,200476994,450,False
143,Moreno-Moran,Retail,Ifako-Ijaiye,61339674,40,False
144,Dawson-Mcdaniel,Manufacturing,Surulere,33926931,358,True
145,"Alexander, Mcdaniel and Brown",Manufacturing,Lekki,154467488,453,True
146,Lopez Inc,Retail,Eti-Osa,177645583,50,False
147,Campos-Cobb,Finance,Eti-Osa,267162761,388,False
148,"Chavez, Grant and Carr",Tech,Mushin,422974500,80,False
149,"Bolton, Tucker and White",Manufacturing,Epe,291561884,274,False
150,Peterson Inc,Retail,Victoria Island,208406730,425,True
151,Christian-Morales,Retail,Lekki,456317355,214,True
152,Lewis-Kelley,Tech,Victoria Island,20883299,74,True
153,Branch-Mejia,Manufacturing,Victoria Island,499161555,245,True
154,Mendoza Group,Manufacturing,Epe,103000630,29,True
155,"Howard, Bentley and Martin",Tech,Mushin,19739697,421,False
156,"Jones, Watkins and Jones",Tech,Amuwo-Odofin,87462598,489,True
157,Williams-Allen,Real Estate,Amuwo-Odofin,258761421,77,False
158,Coffey Ltd,Real Estate,Surulere,431864625,201,False
159,"Lopez, Watts and George",Retail,Lekki,474338868,180,False
160,Cervantes and Sons,Tech,Yaba,333950086,224,False
161,Harris-Smith,Retail,Lekki,93377133,408,False
162,Medina-Beasley,Finance,Ikeja,101229401,479,False
163,Maxwell-Ferguson,Finance,Kosofe,261906697,475,False
164,Dixon Group,Retail,Oshodi-Isolo,257862569,342,True
165,West LLC,Manufacturing,Kosofe,240437383,456,False
166,Newman Group,Finance,Amuwo-Odofin,13246549,339,False
167,Scott-Kelley,Tech,Surulere,348009900,500,False
168,Wilson PLC,Finance,Epe,400170300,196,True
169,Miller-Johnson,Finance,Eti-Osa,273980367,239,False
170,Smith LLC,Retail,Oshodi-Isolo,35025011,260,True
171,Lyons and Sons,Retail,Epe,237981377,117,False
172,Jones-Diaz,Tech,Epe,297861993,253,True
173,"Robinson, Edwards and Wade",Finance,Epe,45303483,59,True
174,Pierce-Odom,Retail,Eti-Osa,31379491,269,True
175,Horne-Travis,Real Estate,Lekki,372863826,185,True
176,Suarez-Garcia,Retail,Lekki,333260035,421,False
177,Murphy-Lee,Retail,Somolu,472439457,133,False
178,"Page, Campos and Hines",Tech,Oshodi-Isolo,32908675,179,False
179,Shaw-Cook,Tech,Badagry,94541906,173,False
180,Jones and Sons,Retail,Apapa,43610010,189,True
181,Moran Inc,Manufacturing,Epe,72005458,108,False
182,"Rodriguez, Ruiz and Smith",Retail,Somolu,64596050,394,False
183,Riddle-Evans,Finance,Surulere,165002039,485,True
184,"Sanchez, Brown and Torres",Tech,Mushin,279040283,381,True
185,"Miller, Bailey and Ramirez",Tech,Agege,440985018,349,False
186,Adams-Sanders,Real Estate,Ikeja,361192442,292,False
187,Brown-White,Manufacturing,Somolu,331959749,292,False
188,Evans-Lewis,Retail,Badagry,24904829,324,True
189,Wong-Foster,Retail,Ikorodu,465401727,203,True
190,Dunn-Mcdowell,Tech,Amuwo-Odofin,214102691,454,False
191,Jones-King,Tech,Victoria Island,217237382,257,False
192,"Dunn, Nguyen and Turner",Manufacturing,Amuwo-Odofin,340355739,65,False
193,Clark-Martinez,Tech,Ikorodu,125279428,309,False
194,Cummings-Roberts,Finance,Somolu,275285178,168,True
195,Walker-Harrison,Tech,Ikeja,263725685,203,True
196,Clark-Rodriguez,Tech,Badagry,301096422,8,False
197,"Williams, English and Wu",Manufacturing,Eti-Osa,375100401,218,True
198,"Nicholson, Brooks and Hunt",Finance,Shomolu,138042946,407,False
199,Johnson-Kelly,Retail,Ajah,293568662,185,False
200,Hudson-Watson,Tech,Apapa,121180367,353,False
201,"Wilcox, Walls and Lester",Real Estate,Eti-Osa,7214769,449,False
202,"Harris, Martin and Morgan",Tech,Oshodi-Isolo,415117086,273,False
203,Garner LLC,Tech,Kosofe,149306242,306,False
204,"Turner, Griffin and Hayes",Manufacturing,Ikorodu,438755205,156,False
205,Oneal Ltd,Real Estate,Alimosho,107468920,182,False
206,Anderson Inc,Retail,Badagry,16973491,344,False
207,Ramos and Sons,Manufacturing,Amuwo-Odofin,281813093,121,False
208,Alexander LLC,Tech,Eti-Osa,176369948,480,False
209,Smith-Mcguire,Real Estate,Amuwo-Odofin,147591856,234,True
210,Jackson-Turner,Real Estate,Eti-Osa,86611078,297,True
211,"Riggs, Donovan and Hernandez",Finance,Lekki,294147275,96,False
212,Sharp Ltd,Retail,Epe,168148979,47,False
213,Dunn Group,Real Estate,Alimosho,322145344,25,False
214,Perez PLC,Tech,Agege,346885074,115,True
215,Jones Ltd,Finance,Surulere,468276077,279,False
216,Green LLC,Manufacturing,Ikorodu,495743117,426,False
217,Miller-Thomas,Finance,Oshodi-Isolo,160052219,85,False
218,King-Payne,Real Estate,Kosofe,20639820,224,False
219,Hayden PLC,Manufacturing,Badagry,147507829,435,False
220,Clark LLC,Retail,Apapa,376172388,395,False
221,Meyer LLC,Retail,Kosofe,488511395,33,False
222,"Arnold, Carlson and Dawson",Retail,Agege,41981148,181,True
223,Frederick Ltd,Finance,Amuwo-Odofin,200774815,431,True
224,Smith-Huber,Manufacturing,Lekki,358818831,433,False
225,Roberts-Vega,Real Estate,Lekki,480495229,252,False
226,"Warren, Cortez and Sampson",Real Estate,Shomolu,477375520,72,False
227,Morris-Beck,Real Estate,Apapa,295124185,381,True
228,Williams and Sons,Retail,Eti-Osa,362031970,432,True
229,Simmons and Sons,Real Estate,Badagry,15955707,89,False
230,Cooper Group,Tech,Shomolu,70893418,172,False
231,Austin and Sons,Finance,Lekki,204122825,350,True
232,Hughes LLC,Retail,Ikorodu,87279908,264,False
233,Anderson-Mendez,Retail,Somolu,468173975,81,False
234,"Davis, Allen and Beasley",Tech,Badagry,241385660,389,True
235,Gonzalez Ltd,Finance,Apapa,131572432,56,True
236,"Moore, Diaz and Bennett",Tech,Shomolu,478104341,325,True
237,Murphy-Kirk,Tech,Victoria Island,311283610,373,False
238,Macias-Golden,Finance,Ikorodu,454906581,82,False
239,"Johnson, Gallagher and Nguyen",Tech,Apapa,445394880,199,False
240,Schmidt-Booker,Finance,Victoria Island,202410789,175,False
241,"Williams, Reyes and Abbott",Finance,Lekki,96230166,257,False
242,Kelly and Sons,Real Estate,Eti-Osa,405036040,83,False
243,Tucker LLC,Manufacturing,Yaba,175363377,201,False
244,Robinson PLC,Finance,Agege,458142328,204,False
245,Cruz Group,Real Estate,Mushin,69628490,329,False
246,"Farmer, Farmer and George",Manufacturing,Kosofe,102909181,32,False
247,Turner and Sons,Finance,Badagry,418796338,121,False
248,"Morgan, Thompson and Jones",Tech,Badagry,346850054,417,False
249,Tran Inc,Finance,Epe,90807844,481,True
250,Moore PLC,Manufacturing,Alimosho,212800674,356,True
251,Middleton-Williams,Manufacturing,Lekki,231095692,180,False
252,Adams PLC,Tech,Ikeja,45212755,489,False
253,Garcia LLC,Real Estate,Amuwo-Odofin,113325780,175,True
254,Archer-White,Real Estate,Victoria Island,5121100,465,True
255,Alvarado Group,Real Estate,Epe,393456149,137,True
256,George-Smith,Manufacturing,Yaba,89198265,90,False
257,"Scott, Ayala and Lyons",Retail,Lekki,405920901,309,True
258,Cruz-Cobb,Finance,Surulere,398277636,164,False
259,"Griffin, Cox and Wise",Retail,Surulere,320392731,69,False
260,"Short, Aguilar and Gonzalez",Manufacturing,Alimosho,371715367,431,False
261,"Fowler, Ball and Francis",Finance,Alimosho,222909545,444,True
262,Chapman and Sons,Real Estate,Apapa,496030114,465,False
263,"Ruiz, Mcmillan and Molina",Manufacturing,Oshodi-Isolo,400267699,170,True
264,"Fuentes, Huynh and James",Tech,Yaba,93043526,274,False
265,"Murphy, Cobb and Hernandez",Tech,Eti-Osa,91671079,350,True
266,Evans Inc,Real Estate,Alimosho,456665114,306,False
267,Mitchell-Cochran,Manufacturing,Eti-Osa,418238303,140,True
268,Gutierrez-Campbell,Retail,Shomolu,290927845,171,False
269,Hardy LLC,Manufacturing,Shomolu,194759256,227,False
270,Nichols-Edwards,Tech,Amuwo-Odofin,70534498,498,False
271,Romero-Davis,Manufacturing,Agege,207912446,466,True
272,White-Olson,Manufacturing,Ikorodu,120709799,257,True
273,Johnson-Kelly,Manufacturing,Lekki,483743557,276,False
274,Moore-Delgado,Finance,Surulere,119203850,51,True
275,Fernandez Ltd,Real Estate,Victoria Island,111153145,98,True
276,King-Morris,Tech,Ajah,236951634,266,True
277,"Shaw, Curtis and Lane",Retail,Yaba,70896213,65,True
278,Murray LLC,Real Estate,Kosofe,461798739,301,False
279,Harris Ltd,Tech,Ikeja,473079587,443,False
280,Stark-Lowe,Finance,Ifako-Ijaiye,470129827,230,True
281,"White, Zamora and Henry",Real Estate,Lekki,243292913,49,True
282,"Ryan, Ramirez and Black",Real Estate,Agege,331839004,376,True
283,"Thornton, Moore and Smith",Manufacturing,Yaba,417709418,499,False
284,"Simmons, Hodges and Marshall",Real Estate,Somolu,269962486,266,True
285,Jennings PLC,Manufacturing,Badagry,86383628,221,True
286,Black-Banks,Manufacturing,Epe,383485893,243,False
287,Stokes Inc,Real Estate,Shomolu,227358190,327,True
288,Perkins Group,Real Estate,Victoria Island,463039961,309,True
289,Thomas-Vaughn,Manufacturing,Yaba,258173653,153,False
290,"Schmidt, Crawford and Walker",Real Estate,Lekki,133048369,382,True
291,Randolph LLC,Retail,Surulere,307192118,315,True
292,Moore-Anderson,Finance,Ikorodu,431398716,77,False
293,"Dominguez, Thompson and Hernandez",Retail,Ikeja,157157612,347,False
294,Brown Ltd,Manufacturing,Ikeja,106907294,468,False
295,Matthews and Sons,Tech,Agege,277676890,266,True
296,Juarez PLC,Tech,Amuwo-Odofin,475418174,319,True
297,Ramos-Warner,Finance,Apapa,479923149,107,True
298,Scott and Sons,Retail,Ifako-Ijaiye,402937330,285,False
299,Bauer and Sons,Finance,Oshodi-Isolo,223729758,382,False
300,Castillo and Sons,Real Estate,Ikeja,345334740,14,False
301,Henson-Roberts,Tech,Epe,114773652,314,True
302,Moore PLC,Finance,Badagry,42210594,255,False
303,Jenkins-Lewis,Tech,Ikeja,385674503,249,True
304,Glenn LLC,Finance,Apapa,15933807,46,False
305,"Smith, Thompson and Mooney",Finance,Ikeja,326382675,243,False
306,"Mcpherson, Johnson and Franklin",Real Estate,Kosofe,447484467,486,True
307,Ford LLC,Manufacturing,Agege,154126645,168,False
308,Perkins-Reyes,Retail,Yaba,212775634,140,False
309,Rodriguez Inc,Real Estate,Somolu,255550633,431,True
310,"Olson, Wright and Lyons",Tech,Eti-Osa,428324874,293,False
311,Mcdaniel-Brooks,Retail,Apapa,239453342,26,True
312,"Murray, Jones and Moran",Real Estate,Ikorodu,251272934,278,True
313,"Smith, Walter and Lamb",Retail,Eti-Osa,441055005,100,False
314,Fowler Group,Manufacturing,Alimosho,132785412,146,False
315,Wallace Ltd,Manufacturing,Epe,255622107,121,False
316,Cain and Sons,Tech,Alimosho,443057276,200,True
317,"Cox, Gonzalez and Brown",Tech,Lekki,348063680,154,True
318,Hobbs-Wall,Retail,Epe,215423163,286,True
319,Black-Fowler,Retail,Shomolu,401195630,347,False
320,Wilson PLC,Manufacturing,Eti-Osa,278544438,35,False
321,"Huff, Edwards and Reyes",Manufacturing,Apapa,39806923,434,False
322,"Yates, Lee and Proctor",Tech,Victoria Island,255617806,105,True
323,"Gutierrez, Ritter and Wheeler",Tech,Yaba,430440227,44,False
324,Rivera Inc,Manufacturing,Lekki,259605908,162,True
325,"Cooper, Davis and Dougherty",Manufacturing,Epe,209340195,368,True
326,Carlson-Blackburn,Real Estate,Eti-Osa,341144806,11,True
327,Golden-Kidd,Manufacturing,Ikorodu,249195867,264,False
328,Gray Ltd,Tech,Shomolu,286464956,217,False
329,Clark and Sons,Finance,Oshodi-Isolo,379063419,116,True
330,Carson-Blair,Manufacturing,Shomolu,57638349,269,False
331,"Allen, Johnson and Avery",Tech,Victoria Island,341691779,285,False
332,Lambert LLC,Manufacturing,Amuwo-Odofin,313736853,86,False
333,Stephens LLC,Tech,Ajah,253353892,119,True
334,"Johnson, King and Fischer",Tech,Kosofe,412348054,240,True
335,"Lane, Mann and Gilbert",Finance,Victoria Island,282252318,419,True
336,"Mcintosh, Cunningham and Rodriguez",Real Estate,Ikeja,97738442,67,False
337,Castillo LLC,Real Estate,Ifako-Ijaiye,193770791,269,True
338,Evans Inc,Manufacturing,Eti-Osa,293679046,444,True
339,"Downs, Lewis and Dean",Manufacturing,Victoria Island,155555489,154,False
340,Stephens Group,Real Estate,Shomolu,326614385,443,False
341,"Ayers, Acosta and Fletcher",Real Estate,Alimosho,44450583,28,True
342,Rivers-Mitchell,Finance,Lekki,207592995,345,True
343,Tucker Group,Real Estate,Ikorodu,187830604,344,True
344,Short-Hill,Finance,Badagry,483433687,163,False
345,"Richard, Fowler and Flores",Real Estate,Amuwo-Odofin,204563268,122,True
346,"Mcbride, Bartlett and Rivera",Tech,Surulere,369365287,369,False
347,"Meyers, Soto and Jenkins",Manufacturing,Epe,490938832,218,False
348,Holland-Burton,Real Estate,Alimosho,112382632,425,True
349,"Jackson, Brewer and Parker",Finance,Surulere,363803445,351,True
350,Walker-French,Real Estate,Kosofe,452367050,58,False
351,"Strong, Meadows and Morris",Manufacturing,Apapa,427239604,403,True
352,"Rodriguez, Collins and Jones",Retail,Victoria Island,230603776,64,True
353,Garner-Rose,Retail,Ifako-Ijaiye,311223652,176,True
354,"Lindsey, Gonzalez and Johnson",Retail,Badagry,159138156,488,False
355,Romero-Clark,Finance,Kosofe,321733841,493,True
356,"Ortiz, Hart and Bennett",Real Estate,Alimosho,40064065,381,False
357,Leonard-Lee,Manufacturing,Eti-Osa,313809963,338,True
358,Young LLC,Tech,Victoria Island,353820138,174,False
359,"Heath, Petty and Figueroa",Manufacturing,Kosofe,288313700,376,True
360,Knight Ltd,Tech,Eti-Osa,119027766,114,True
361,Dorsey Inc,Finance,Somolu,38611316,324,True
362,Hernandez-Walsh,Retail,Somolu,75856338,37,False
363,"Nicholson, Miller and Wyatt",Tech,Ajah,11345523,85,True
364,Doyle PLC,Retail,Shomolu,40004930,331,True
365,"Morris, Moore and Le",Manufacturing,Lekki,271870033,143,False
366,Moses-Tran,Real Estate,Victoria Island,390922407,426,True
367,"Powell, Christian and Kelly",Retail,Oshodi-Isolo,277951331,66,True
368,Wells-Jones,Manufacturing,Badagry,43484175,443,True
369,Wilson Inc,Tech,Ifako-Ijaiye,87230539,359,True
370,Crosby-Phillips,Tech,Ifako-Ijaiye,189700847,355,True
371,"Rios, Jenkins and Figueroa",Finance,Lekki,81629301,433,False
372,Lopez-Frederick,Finance,Yaba,15915315,214,False
373,Sanders-Wilcox,Tech,Badagry,284854853,103,False
374,"Wilson, Aguirre and Page",Retail,Surulere,9844707,310,False
375,Ellis and Sons,Tech,Lekki,191966102,393,True
376,"Smith, Gomez and Cooper",Manufacturing,Eti-Osa,222541612,223,True
377,Farrell and Sons,Manufacturing,Somolu,213676401,481,True
378,Stewart LLC,Retail,Agege,84495284,14,True
379,Johnson-Elliott,Manufacturing,Apapa,215599601,456,False
380,Strickland-Phillips,Manufacturing,Mushin,373457245,61,True
381,Brown and Sons,Finance,Apapa,261184537,207,False
382,Ramos LLC,Finance,Ajah,311366985,320,True
383,Henry-Peterson,Retail,Apapa,487071080,156,True
384,Smith-Vasquez,Finance,Lekki,103076463,345,False
385,Woodard-Espinoza,Retail,Victoria Island,457394245,304,True
386,"Estrada, Johnson and Mason",Retail,Mushin,148137357,433,True
387,Ramsey and Sons,Manufacturing,Eti-Osa,463002719,188,True
388,Ramirez-May,Finance,Eti-Osa,437089778,424,False
389,"Bishop, Gonzalez and Roberts",Finance,Victoria Island,51814009,279,True
390,"Long, Hawkins and Nelson",Manufacturing,Mushin,288780296,118,True
391,"Calderon, Kane and Allen",Tech,Surulere,340924825,371,False
392,Bowen-Edwards,Tech,Lekki,188975041,315,True
393,Meyer-Castro,Tech,Amuwo-Odofin,431282103,83,True
394,Fox-Marshall,Finance,Apapa,295310940,90,False
395,Walter-Richardson,Manufacturing,Lekki,206326380,415,True
396,Young Inc,Retail,Shomolu,361340170,282,True
397,Cook LLC,Retail,Badagry,279716933,234,False
398,Casey Ltd,Retail,Ajah,292214921,218,True
399,Andrade-Williams,Finance,Epe,179866607,416,True
400,"Hall, Wang and Fernandez",Manufacturing,Eti-Osa,298736068,14,True
401,"Griffin, Fowler and English",Tech,Lekki,466011071,382,True
402,Smith-Solis,Real Estate,Ikorodu,163368119,367,False
403,Ray-Martinez,Finance,Yaba,419070117,208,True
404,Mclaughlin-Gallegos,Finance,Ajah,26884029,266,True
405,"Cooper, Elliott and Golden",Real Estate,Alimosho,209953887,149,False
406,Rangel-Payne,Tech,Amuwo-Odofin,214431536,227,False
407,Burke LLC,Finance,Epe,173658025,29,False
408,Clements-Duncan,Tech,Ikeja,219206758,123,False
409,Griffin Ltd,Finance,Ikorodu,297269705,220,False
410,"Salas, Griffith and Carrillo",Tech,Alimosho,373912189,132,True
411,"Kennedy, Avery and Blankenship",Manufacturing,Ikorodu,403355196,415,True
412,"Gray, Bennett and Mann",Retail,Oshodi-Isolo,375778200,477,False
413,Salazar-Dominguez,Tech,Alimosho,25778254,47,True
414,"Lee, Sanders and Gallagher",Manufacturing,Ikeja,91267991,461,True
415,"Franklin, Phillips and White",Finance,Victoria Island,5533549,110,True
416,Vargas Group,Retail,Kosofe,50299317,361,False
417,"Allison, Hines and Williams",Real Estate,Surulere,413774118,50,True
418,"Jackson, Wall and Cooper",Retail,Victoria Island,399885431,379,True
419,Scott-Knapp,Finance,Somolu,394958314,358,True
420,Leach PLC,Retail,Victoria Island,139847610,173,True
421,Garcia Group,Retail,Badagry,409144892,168,True
422,Gibson-Wilcox,Tech,Ikeja,496101108,83,False
423,"Warner, Hobbs and Chambers",Tech,Mushin,25974839,38,False
424,"Davis, White and Choi",Tech,Somolu,98356249,105,False
425,"West, Booth and Hall",Retail,Eti-Osa,472818126,145,True
426,Neal Group,Real Estate,Somolu,17740077,150,False
427,"Lee, Dorsey and Green",Finance,Kosofe,275293530,24,True
428,Hernandez LLC,Tech,Somolu,453330982,225,True
429,Freeman-Greer,Manufacturing,Lekki,182611204,424,True
430,Johnson-Snow,Real Estate,Yaba,448544927,496,True
431,Walker Ltd,Retail,Eti-Osa,367179100,262,True
432,Vasquez PLC,Manufacturing,Ajah,199526634,252,True
433,Cook Inc,Retail,Mushin,332816178,256,True
434,Mendoza LLC,Finance,Eti-Osa,158515917,101,False
435,"Cuevas, Anderson and Cuevas",Manufacturing,Badagry,439337089,141,False
