id,owner_id,lga,property_type,estimated_value
223,223,Ifako-Ijaiye,Residential,24861869.49
224,224,Mushin,Residential,25822372.03
225,225,Ikorodu,Residential,12093131.82
226,226,Epe,Commercial,15228210.85
227,227,Victoria Island,Commercial,49752722.95
228,228,Alimosho,Residential,7605175.66
229,229,Agege,Residential,8780217.37
230,230,Mushin,Commercial,3509178.77
231,231,Ikeja,Residential,14794479.17
232,232,Mushin,Residential,11624898.03
233,233,Victoria Island,Commercial,42307090.48
234,234,Yaba,Commercial,7107046.81
235,235,Apapa,Commercial,3639510.42
236,236,Ikorodu,Commercial,874803.33
237,237,Victoria Island,Commercial,3167624.06
238,238,Shomolu,Commercial,12046987.17
239,239,Kosofe,Commercial,2354042.13
240,240,Eti-Osa,Commercial,47588036.27
241,241,Ikorodu,Residential,3714327.2
242,242,Apapa,Commercial,6490149.05
243,243,Eti-Osa,Residential,51205586.92
244,244,Amuwo-Odofin,Commercial,24674315.98
245,245,Oshodi-Isolo,Commercial,6422191.48
246,246,Shomolu,Commercial,8105242.33
247,247,Kosofe,Residential,19433366.88
248,248,Ajah,Commercial,18229694.09
249,249,Yaba,Residential,12919544.93
250,250,Epe,Residential,22678927.09
251,251,Kosofe,Commercial,8869659.51
252,252,Kosofe,Commercial,4126320.81
253,253,Eti-Osa,Residential,10237995.79
254,254,Yaba,Commercial,12259787.62
255,255,Amuwo-Odofin,Commercial,9688663.65
256,256,Kosofe,Residential,8839593.92
257,257,Ikorodu,Commercial,5878716.75
258,258,Alimosho,Residential,6587067.93
259,259,Ikeja,Residential,18949615.99
260,260,Shomolu,Residential,7236903.91
261,261,Amuwo-Odofin,Commercial,2640645.14
262,262,Epe,Commercial,2130535.54
263,263,Alimosho,Residential,2501974.08
264,264,Alimosho,Residential,1727213.38
265,265,Yaba,Commercial,17004480.26
266,266,Kosofe,Commercial,26100167.56
267,267,Ikeja,Residential,32601549.32
268,268,Yaba,Residential,15860417.99
269,269,Shomolu,Commercial,21169083.5
270,270,Epe,Commercial,1019126.4
271,271,Kosofe,Commercial,6701547.68
272,272,Victoria Island,Residential,39987809.27
273,273,Badagry,Residential,19294852.11
274,274,Kosofe,Residential,17333188.54
275,275,Agege,Commercial,10959837.09
276,276,Shomolu,Residential,9210758.96
277,277,Mushin,Commercial,4064352.7
278,278,Badagry,Residential,5975554.96
279,279,Badagry,Commercial,13494469.18
280,280,Victoria Island,Residential,32379128.01
281,281,Mushin,Residential,12919590.36
282,282,Shomolu,Residential,11626729.23
283,283,Apapa,Commercial,12650938.38
284,284,Oshodi-Isolo,Residential,12296494.58
285,285,Alimosho,Commercial,10277702.62
286,286,Kosofe,Residential,15698674.03
287,287,Yaba,Commercial,17393822.49
288,288,Badagry,Residential,2640755.21
289,289,Ikorodu,Commercial,9580823.03
290,290,Kosofe,Residential,1411334.21
291,291,Epe,Commercial,3722723.42
292,292,Surulere,Residential,37529179.08
293,293,Victoria Island,Residential,12839694.45
294,294,Mushin,Residential,3837722.1
295,295,Ikorodu,Residential,10035594.8
296,296,Ajah,Residential,12581649.95
297,297,Kosofe,Residential,24350745.72
298,298,Ifako-Ijaiye,Residential,1401510.39
299,299,Victoria Island,Commercial,32100398.38
300,300,Alimosho,Residential,5032444.91
301,301,Mushin,Residential,1603197.47
302,302,Amuwo-Odofin,Residential,6948178.24
303,303,Somolu,Residential,9353601.12
304,304,Ikorodu,Residential,2252583.73
305,305,Yaba,Residential,2402638.99
306,306,Ifako-Ijaiye,Commercial,2705078.82
307,307,Kosofe,Commercial,12134896.01
308,308,Somolu,Residential,16910682.76
309,309,Ikorodu,Commercial,3457134.51
310,310,Ikorodu,Commercial,17134934.09
311,311,Kosofe,Residential,9807096.87
312,312,Surulere,Commercial,19558405.11
313,313,Ikorodu,Residential,5562899.62
314,314,Apapa,Residential,19024121.29
315,315,Epe,Residential,16813144.32
316,316,Surulere,Residential,11960460.96
317,317,Somolu,Residential,5201946.97
318,318,Mushin,Residential,18353294.78
319,319,Amuwo-Odofin,Residential,6735369.46
320,320,Lekki,Residential,20053600.66
321,321,Shomolu,Residential,13474004.2
322,322,Yaba,Residential,4168813.07
323,323,Apapa,Residential,5537878.58
324,324,Amuwo-Odofin,Commercial,13435764.7
325,325,Epe,Commercial,15132501.29
326,326,Yaba,Residential,11858138.46
327,327,Amuwo-Odofin,Residential,9317477.24
328,328,Eti-Osa,Residential,16057582.32
329,329,Badagry,Commercial,27539402.63
330,330,Ajah,Commercial,8798987.62
331,331,Kosofe,Residential,16883121.48
332,332,Yaba,Commercial,24421114.09
333,333,Apapa,Commercial,8090926.9
334,334,Somolu,Residential,11883850.4
335,335,Eti-Osa,Commercial,8732089.85
336,336,Kosofe,Commercial,10800187.77
337,337,Badagry,Commercial,3213367.92
338,338,Kosofe,Residential,9923087.56
339,339,Victoria Island,Commercial,60599270.45
340,340,Yaba,Residential,23377748.71
341,341,Lekki,Residential,58353684.61
342,342,Ikorodu,Commercial,7943523.46
343,343,Kosofe,Commercial,23987720.09
344,344,Ikeja,Residential,22108480.31
345,345,Somolu,Commercial,6877809.13
346,346,Epe,Residential,24438829.39
347,347,Surulere,Commercial,13891719.68
348,348,Mushin,Residential,15744120.22
349,349,Ikorodu,Residential,14030943.07
350,350,Ikeja,Commercial,26311673.17
351,351,Lekki,Commercial,8792025.5
352,352,Somolu,Commercial,19385585.3
353,353,Victoria Island,Commercial,35973926.06
354,354,Kosofe,Residential,10575455.63
355,355,Alimosho,Residential,11613916.08
356,356,Alimosho,Commercial,12849522.74
357,357,Mushin,Residential,1577725.02
358,358,Agege,Residential,6491304.93
359,359,Surulere,Residential,18685482.81
360,360,Agege,Residential,13608351.84
361,361,Epe,Residential,9004534.59
362,362,Badagry,Commercial,3505150.33
363,363,Victoria Island,Residential,42731859.03
364,364,Amuwo-Odofin,Residential,1141865.77
365,365,Eti-Osa,Commercial,22221674.49
366,366,Ifako-Ijaiye,Commercial,19513352.97
367,367,Amuwo-Odofin,Commercial,3749003.78
368,368,Amuwo-Odofin,Residential,10709369.23
369,369,Ajah,Residential,7037352.57
370,370,Apapa,Residential,19619571.85
371,371,Ikeja,Commercial,17079537.76
372,372,Ikorodu,Commercial,18903061.66
373,373,Victoria Island,Commercial,10122587.86
374,374,Alimosho,Commercial,6643717.65
375,375,Ajah,Commercial,5343683.62
376,376,Badagry,Residential,28571791.65
377,377,Alimosho,Residential,18341834.66
378,378,Kosofe,Commercial,15325985.96
379,379,Surulere,Residential,19892369.82
380,380,Ifako-Ijaiye,Commercial,3155919.74
381,381,Kosofe,Commercial,4481994.49
382,382,Eti-Osa,Residential,9526506.94
383,383,Alimosho,Residential,1075990.48
384,384,Lekki,Residential,38865292.08
385,385,Lekki,Residential,37195512.43
386,386,Alimosho,Residential,14714617.91
387,387,Epe,Residential,20623183.67
388,388,Ajah,Residential,2410366.36
389,389,Amuwo-Odofin,Residential,12574073.91
390,390,Ikeja,Residential,27414920.32
391,391,Alimosho,Commercial,858115.66
392,392,Eti-Osa,Residential,8066217.36
393,393,Alimosho,Commercial,1375482.9
394,394,Eti-Osa,Residential,45653166.95
395,395,Ifako-Ijaiye,Commercial,8390955.5
396,396,Alimosho,Residential,9117558.47
397,397,Ifako-Ijaiye,Residential,12855712.07
398,398,Ikeja,Residential,2257149.54
399,399,Ifako-Ijaiye,Commercial,3610791.52
400,400,Ikeja,Residential,20412577.37
401,401,Kosofe,Commercial,18849171.35
402,402,Surulere,Commercial,24042702.07
403,403,Lekki,Commercial,15483928.03
404,404,Victoria Island,Residential,25204241.3
405,405,Shomolu,Commercial,10884635.76
406,406,Somolu,Commercial,10513505.4
407,407,Apapa,Commercial,8112501.65
408,408,Ifako-Ijaiye,Residential,6202411.69
409,409,Ajah,Residential,27084952.48
410,410,Somolu,Commercial,13131235.03
411,411,Ifako-Ijaiye,Residential,16731026.13
412,412,Ikorodu,Commercial,3651869.78
413,413,Shomolu,Residential,12186197.7
414,414,Victoria Island,Residential,3437219.44
415,415,Eti-Osa,Commercial,27633344.39
416,416,Kosofe,Residential,10242652.6
417,417,Ikeja,Commercial,24054654.98
418,418,Amuwo-Odofin,Commercial,7750721.84
419,419,Ikeja,Commercial,17774851.65
420,420,Badagry,Commercial,10286257.07
421,421,Badagry,Commercial,7685080.39
422,422,Badagry,Commercial,8273362.11
423,423,Alimosho,Commercial,14387014.56
424,424,Epe,Residential,4892391.68
425,425,Yaba,Commercial,10705675.96
426,426,Ikeja,Commercial,1563470.2
427,427,Surulere,Residential,14923215.47
428,428,Ikeja,Commercial,27255644.81
429,429,Shomolu,Residential,6483080.13
430,430,Agege,Residential,2021116.53
431,431,Mushin,Commercial,10891781.23
432,432,Epe,Commercial,2420193.99
433,433,Oshodi-Isolo,Commercial,4510246.31
434,434,Yaba,Residential,13587087.84
435,435,Alimosho,Commercial,5683088.03
436,436,Ifako-Ijaiye,Residential,6471927.39
437,437,Kosofe,Residential,28082480.98
438,438,Ajah,Commercial,9180434.78
439,439,Somolu,Commercial,5533585.22
440,440,Lekki,Residential,17777370.62
441,441,Surulere,Residential,34000295.54
442,442,Lekki,Commercial,40716341.82
443,443,Victoria Island,Commercial,43734625.06
444,444,Amuwo-Odofin,Commercial,13826899.6
445,445,Kosofe,Commercial,4768106.38
446,446,Eti-Osa,Commercial,8053742.07
447,447,Kosofe,Residential,7816161.49
448,448,Ikeja,Commercial,2684705.47
449,449,Ajah,Residential,15755963.13
450,450,Alimosho,Residential,16185643.83
451,451,Mushin,Residential,13532745.03
452,452,Alimosho,Commercial,3200293.47
453,453,Somolu,Residential,23231156.88
454,454,Apapa,Commercial,9351822.64
455,455,Kosofe,Residential,3861400.36
456,456,Eti-Osa,Commercial,26134939.46
457,457,Shomolu,Residential,16958877.09
458,458,Ajah,Residential,3624367.4
459,459,Shomolu,Residential,15504708.69
460,460,Ikorodu,Residential,4280388.16
461,461,Oshodi-Isolo,Residential,1721477.1
462,462,Lekki,Commercial,33487878.68
463,463,Apapa,Residential,827665.11
464,464,Surulere,Commercial,6851463.14
465,465,Kosofe,Residential,22712783.81
466,466,Mushin,Commercial,16928726.67
467,467,Yaba,Residential,10237010.38
468,468,Oshodi-Isolo,Commercial,7116714.66
469,469,Alimosho,Residential,7540555.58
470,470,Surulere,Residential,16330174.09
471,471,Kosofe,Commercial,5658792.46
472,472,Kosofe,Residential,12813509.79
473,473,Amuwo-Odofin,Commercial,8933586.0
474,474,Yaba,Residential,12062687.35
475,475,Surulere,Commercial,33455927.6
476,476,Amuwo-Odofin,Residential,9649418.33
477,477,Victoria Island,Commercial,17765840.66
478,478,Apapa,Residential,7431476.57
479,479,Ifako-Ijaiye,Commercial,26575038.22
480,480,Mushin,Commercial,2333786.82
481,481,Ajah,Residential,12356232.6
482,482,Ikeja,Residential,6438714.4
483,483,Victoria Island,Residential,30277024.22
484,484,Amuwo-Odofin,Residential,14611904.29
485,485,Ifako-Ijaiye,Residential,14865595.36
486,486,Ifako-Ijaiye,Commercial,3881045.91
487,487,Badagry,Residential,12286145.0
488,488,Yaba,Residential,4593901.67
489,489,Ikorodu,Residential,9621797.43
490,490,Victoria Island,Residential,13783230.8
491,491,Badagry,Commercial,16007522.48
492,492,Ikeja,Residential,3577016.49
493,493,Ikorodu,Commercial,1269596.92
494,494,Yaba,Residential,21969877.3
495,495,Mushin,Residential,10117784.33
496,496,Ifako-Ijaiye,Residential,13498713.75
497,497,Mushin,Commercial,1556375.29
498,498,Badagry,Commercial,7341924.71
499,499,Surulere,Commercial,32840873.31
500,500,Victoria Island,Residential,30117274.7
501,501,Somolu,Commercial,4401517.37
502,502,Victoria Island,Commercial,37930516.49
503,503,Victoria Island,Residential,4465550.24
504,504,Agege,Residential,13031991.81
505,505,Epe,Commercial,19271723.04
506,506,Eti-Osa,Commercial,21366616.36
507,507,Agege,Residential,10607414.94
508,508,Shomolu,Commercial,10050946.68
509,509,Lekki,Commercial,26910029.14
510,510,Lekki,Residential,30577977.94
511,511,Surulere,Commercial,14021366.67
512,512,Alimosho,Commercial,8400778.97
513,513,Lekki,Commercial,42187358.92
514,514,Ajah,Residential,8866664.61
515,515,Somolu,Residential,16791547.97
516,516,Ikorodu,Residential,2671369.09
517,517,Lekki,Commercial,26494910.85
518,518,Epe,Commercial,18165994.23
519,519,Kosofe,Commercial,5898599.98
520,520,Lekki,Residential,24537482.76
521,521,Mushin,Commercial,12275202.46
522,522,Ifako-Ijaiye,Commercial,11315844.42
523,523,Ajah,Commercial,2361284.76
524,524,Kosofe,Residential,21297329.05
525,525,Mushin,Residential,992365.3
526,526,Badagry,Commercial,8363082.28
527,527,Epe,Residential,18452577.77
528,528,Shomolu,Commercial,3673202.47
529,529,Yaba,Commercial,5371779.0
530,530,Shomolu,Residential,16685586.35
531,531,Ikorodu,Commercial,13139612.61
532,532,Kosofe,Residential,4395441.23
533,533,Lekki,Commercial,4336880.83
534,534,Surulere,Commercial,7703218.33
535,535,Apapa,Residential,10635622.33
536,536,Ikeja,Residential,44188241.5
537,537,Badagry,Commercial,10781739.81
538,538,Agege,Commercial,11436592.37
539,539,Oshodi-Isolo,Residential,5270280.19
540,540,Surulere,Residential,18451309.68
541,541,Ikorodu,Commercial,11087989.01
542,542,Alimosho,Residential,11780008.93
543,543,Ifako-Ijaiye,Commercial,18959029.8
544,544,Ajah,Residential,4227706.35
545,545,Mushin,Commercial,1567697.15
546,546,Agege,Residential,11038636.9
547,547,Ikorodu,Residential,3036432.92
548,548,Victoria Island,Commercial,29747767.51
549,549,Badagry,Commercial,7818532.44
550,550,Ikorodu,Commercial,8156850.6
551,551,Shomolu,Residential,8278286.16
552,552,Ajah,Commercial,6687577.39
553,553,Amuwo-Odofin,Residential,6543206.12
554,554,Yaba,Commercial,8562094.36
555,555,Agege,Commercial,6411852.42
556,556,Ikorodu,Commercial,2645851.33
557,557,Ifako-Ijaiye,Residential,14635821.0
558,558,Mushin,Residential,1262024.39
559,559,Surulere,Commercial,19686310.57
560,560,Oshodi-Isolo,Residential,21033552.82
561,561,Alimosho,Commercial,3697764.42
562,562,Victoria Island,Residential,15784677.09
563,563,Apapa,Commercial,13595663.88
564,564,Alimosho,Residential,8667900.69
565,565,Somolu,Residential,10111623.69
566,566,Amuwo-Odofin,Commercial,22480728.76
567,567,Kosofe,Commercial,15764830.53
568,568,Ajah,Residential,9970066.3
569,569,Apapa,Commercial,6788726.28
570,570,Ajah,Commercial,9752545.14
571,571,Ikeja,Commercial,35835834.28
572,572,Kosofe,Commercial,5688316.9
573,573,Agege,Residential,6541004.75
574,574,Badagry,Commercial,20745255.35
575,575,Epe,Residential,11926174.78
576,576,Amuwo-Odofin,Residential,4688797.47
577,577,Oshodi-Isolo,Commercial,13826534.1
578,578,Oshodi-Isolo,Residential,1338497.11
579,579,Eti-Osa,Commercial,37584529.3
580,580,Yaba,Residential,8351113.0
581,581,Oshodi-Isolo,Commercial,6607896.14
582,582,Mushin,Residential,3826856.65
583,583,Ikeja,Residential,12893384.18
584,584,Lekki,Residential,17976901.83
585,585,Shomolu,Commercial,1230787.17
586,586,Yaba,Commercial,20028341.03
587,587,Ajah,Residential,7449524.42
588,588,Surulere,Commercial,10598944.98
589,589,Yaba,Commercial,3871221.61
590,590,Ikeja,Commercial,3698218.81
591,591,Ikeja,Commercial,30279541.01
592,592,Mushin,Commercial,3071006.59
593,593,Agege,Residential,7490076.34
594,594,Yaba,Residential,28092071.82
595,595,Mushin,Residential,1700130.48
596,596,Ikorodu,Residential,10838248.29
597,597,Oshodi-Isolo,Commercial,18751060.93
598,598,Somolu,Residential,19737484.04
599,599,Yaba,Commercial,7032440.44
600,600,Ajah,Residential,8621488.77
601,601,Victoria Island,Commercial,59412042.23
602,602,Ajah,Commercial,5117588.09
603,603,Kosofe,Commercial,4306202.59
604,604,Alimosho,Residential,980603.17
605,605,Lekki,Residential,22693217.58
606,606,Agege,Commercial,7064622.6
607,607,Alimosho,Commercial,5478646.94
608,608,Agege,Residential,1774927.64
609,609,Epe,Residential,5371490.5
610,610,Apapa,Residential,6013140.78
611,611,Alimosho,Residential,9842586.51
612,612,Yaba,Residential,10584837.78
613,613,Victoria Island,Commercial,16902941.1
614,614,Ifako-Ijaiye,Commercial,7004815.8
615,615,Amuwo-Odofin,Commercial,12743178.59
616,616,Kosofe,Commercial,7541589.28
617,617,Alimosho,Residential,2272226.91
618,618,Eti-Osa,Residential,5840108.35
619,619,Epe,Commercial,8223660.09
620,620,Badagry,Residential,21819110.9
621,621,Agege,Residential,10824599.04
622,622,Ifako-Ijaiye,Commercial,17846076.86
623,623,Yaba,Commercial,21319636.36
624,624,Surulere,Residential,13438385.55
625,625,Somolu,Commercial,3335579.32
626,626,Badagry,Residential,9751945.46
627,627,Ikorodu,Commercial,12045138.37
628,628,Ikorodu,Commercial,6449641.32
629,629,Shomolu,Commercial,18931191.88
630,630,Alimosho,Residential,6687230.89
631,631,Amuwo-Odofin,Residential,5081836.76
632,632,Kosofe,Commercial,16055204.46
633,633,Ajah,Residential,25800613.54
634,634,Oshodi-Isolo,Residential,10072137.86
635,635,Victoria Island,Commercial,17371112.56
636,636,Ikorodu,Commercial,12861190.45
637,637,Agege,Commercial,11666163.53
638,638,Ikorodu,Residential,4804332.25
639,639,Shomolu,Commercial,10863018.57
640,640,Badagry,Residential,4289278.08
641,641,Eti-Osa,Commercial,49021620.15
642,642,Badagry,Commercial,3988234.43
643,643,Ajah,Residential,21262683.05
644,644,Alimosho,Residential,10679338.43
645,645,Lekki,Commercial,14440120.51
646,646,Surulere,Residential,17858385.81
647,647,Surulere,Commercial,29891204.34
648,648,Shomolu,Residential,23217503.71
649,649,Surulere,Commercial,7546784.72
650,650,Lekki,Commercial,18118087.79
651,651,Ikeja,Commercial,8603082.45
652,652,Badagry,Commercial,3649890.25
653,653,Victoria Island,Residential,68173654.92
654,654,Eti-Osa,Commercial,27581724.45
655,655,Ifako-Ijaiye,Commercial,3792945.45
656,656,Oshodi-Isolo,Residential,3072784.24
657,657,Shomolu,Commercial,11958849.9
658,658,Somolu,Commercial,4888609.11
659,659,Amuwo-Odofin,Residential,6165756.53
660,660,Ikorodu,Residential,3244666.43
661,661,Eti-Osa,Residential,14567589.37
662,662,Badagry,Residential,8791268.73
663,663,Kosofe,Commercial,11144344.74
664,664,Agege,Residential,9682958.78
665,665,Ikorodu,Commercial,12349510.91
666,666,Alimosho,Residential,10789218.3
667,667,Yaba,Residential,11365469.37
668,668,Kosofe,Residential,5492718.35
669,669,Somolu,Residential,8856678.62
