taxpayer_id,tax_year,declared_income,expected_tax,tax_paid,payment_status
73,2024,5661681.0,1019102.58,684021.65,Partial
74,2024,3073588.5,553245.93,399443.56,Partial
75,2024,19542232.0,4885558.0,2994358.5,Partial
76,2024,1987183.5,198718.35,156252.24,Partial
77,2024,11187780.0,2796945.0,2139942.62,Partial
78,2024,1916665.5,191666.55,150304.91,Partial
79,2024,304320.0,15216.0,15170.35,Paid
80,2024,1298520.0,129852.0,115217.68,Partial
81,2024,5477719.5,985989.51,721251.33,Partial
82,2024,3152554.5,567459.81,254392.23,Unpaid
83,2024,3310800.0,595944.0,266625.35,Unpaid
84,2024,3349285.5,602871.39,440457.84,Partial
85,2024,2750370.0,495066.6,299663.81,Partial
86,2024,656596.5,65659.65,31424.71,Unpaid
87,2024,3676774.5,661819.41,381538.89,Partial
88,2024,921223.5,92122.35,64596.19,Partial
89,2024,427924.5,21396.23,18858.63,Partial
90,2024,1045590.0,104559.0,69709.49,Partial
91,2024,4227648.0,760976.64,482002.6,Partial
92,2024,563080.0,56308.0,55711.14,Paid
93,2024,1216248.0,121624.8,57479.88,Unpaid
94,2024,3384786.0,609261.48,410946.87,Partial
95,2024,8372372.0,1507026.96,1341404.7,Partial
96,2024,1343502.0,134350.2,81846.14,Partial
97,2024,3181729.5,572711.31,538348.63,Paid
98,2024,3317284.0,597111.12,479121.96,Partial
99,2024,12422697.0,3105674.25,2186084.1,Partial
100,2024,1852546.5,185254.65,177585.11,Paid
101,2024,7275088.5,1309515.93,812554.63,Partial
102,2024,5801853.0,1044333.54,762363.48,Partial
103,2024,668592.0,66859.2,44989.56,Partial
104,2024,7080745.5,1274534.19,1149120.03,Paid
105,2024,10757190.0,2689297.5,1712544.65,Partial
106,2024,4764422.5,857596.05,687105.96,Partial
107,2024,4544850.0,818073.0,508268.75,Partial
108,2024,3928743.0,707173.74,607674.39,Partial
109,2024,3214641.0,578635.38,249681.17,Unpaid
110,2024,3246935.0,584448.3,288016.12,Unpaid
111,2024,7403560.5,1332640.89,1010141.79,Partial
112,2024,9806025.0,1765084.5,1408360.92,Partial
113,2024,8421537.0,1515876.66,619084.03,Unpaid
114,2024,6226950.0,1120851.0,1022216.11,Paid
115,2024,19802696.0,4950674.0,1996606.82,Unpaid
116,2024,3570469.5,642684.51,398914.28,Partial
117,2024,1908297.0,190829.7,99861.18,Partial
118,2024,8438700.0,1518966.0,1132996.74,Partial
119,2024,4924414.5,886394.61,532811.8,Partial
120,2024,4495218.0,809139.24,498672.51,Partial
121,2024,4294321.5,772977.87,625725.59,Partial
122,2024,9185540.0,1653397.2,695584.2,Unpaid
123,2024,4509730.0,811751.4,418539.02,Partial
124,2024,9209235.0,1657662.3,1138316.7,Partial
125,2024,5506452.0,991161.36,827520.62,Partial
126,2024,958960.5,95896.05,47948.03,Unpaid
127,2024,1880196.0,188019.6,161132.8,Partial
128,2024,415841.0,20792.05,12537.61,Partial
129,2024,4522362.0,814025.16,542140.76,Partial
130,2024,3604279.5,648770.31,379595.51,Partial
131,2024,4449993.0,800998.74,541955.75,Partial
132,2024,8589820.0,1546167.6,685725.33,Unpaid
133,2024,521472.0,52147.2,33671.45,Partial
134,2024,3112110.0,560179.8,427753.3,Partial
135,2024,304572.0,15228.6,6936.63,Unpaid
136,2024,4279044.0,770227.92,390659.6,Partial
137,2024,558867.0,55886.7,35448.93,Partial
138,2024,1516968.0,151696.8,114834.48,Partial
139,2024,543565.0,54356.5,36744.99,Partial
140,2024,3500650.5,630117.09,312979.16,Unpaid
141,2024,6191707.5,1114507.35,847248.49,Partial
142,2024,8585364.0,1545365.52,1223465.88,Partial
143,2024,11131587.0,2782896.75,2260547.03,Partial
144,2024,6671397.0,1200851.46,507119.57,Unpaid
145,2024,4441896.0,799541.28,450301.65,Partial
146,2024,2467326.0,444118.68,354539.94,Partial
147,2024,6110575.5,1099903.59,790720.69,Partial
148,2024,5372188.5,966993.93,498872.17,Partial
149,2024,4648921.5,836805.87,386436.95,Unpaid
150,2024,986442.0,98644.2,97835.32,Paid
151,2024,6235861.5,1122455.07,959250.1,Partial
152,2024,6977376.0,1255927.68,885554.61,Partial
153,2024,6202669.5,1116480.51,922771.14,Partial
154,2024,6289182.0,1132052.76,1086431.03,Paid
155,2024,13576792.0,3394198.0,1938765.9,Partial
156,2024,1284510.0,128451.0,104379.28,Partial
157,2024,4277110.5,769879.89,435905.99,Partial
158,2024,10032017.5,2508004.38,2180709.8,Partial
159,2024,3636664.5,654599.61,529440.16,Partial
160,2024,7366021.5,1325883.87,1204035.14,Paid
161,2024,959199.0,95919.9,52199.61,Partial
162,2024,5031036.0,905586.48,469456.03,Partial
163,2024,5249494.5,944909.01,780211.37,Partial
164,2024,5037286.0,906711.48,401854.53,Unpaid
165,2024,1018368.0,101836.8,75175.93,Partial
166,2024,1510453.5,151045.35,73045.53,Unpaid
167,2024,425966.0,21298.3,17191.99,Partial
168,2024,604438.0,60443.8,43888.24,Partial
169,2024,5058579.0,910544.22,650674.9,Partial
170,2024,5125717.5,922629.15,784142.51,Partial
171,2024,4982907.0,896923.26,637802.13,Partial
172,2024,1736007.0,173600.7,74249.02,Unpaid
173,2024,461034.0,23051.7,21396.59,Paid
174,2024,3141301.0,565434.18,231601.84,Unpaid
175,2024,864999.0,86499.9,83316.7,Paid
176,2024,3635002.0,654300.36,569895.61,Partial
177,2024,783063.0,78306.3,57053.97,Partial
178,2024,12434613.0,3108653.25,2824211.48,Paid
179,2024,5458990.5,982618.29,673486.58,Partial
180,2024,3908593.0,703546.74,313852.2,Unpaid
181,2024,1852820.0,185282.0,161547.38,Partial
182,2024,5646704.0,1016406.72,956946.93,Paid
183,2024,6985066.5,1257311.97,1192183.21,Paid
184,2024,5143430.0,925817.4,438096.79,Unpaid
185,2024,4009939.5,721789.11,515429.6,Partial
186,2024,2130978.0,383576.04,334209.8,Partial
187,2024,1325300.0,132530.0,68358.97,Partial
188,2024,5158684.5,928563.21,827442.68,Partial
189,2024,6913060.5,1244350.89,1183626.57,Paid
190,2024,4800363.0,864065.34,578750.96,Partial
191,2024,2855242.5,513943.65,426367.65,Partial
192,2024,4724161.0,850348.98,419392.12,Unpaid
193,2024,6764850.0,1217673.0,1046955.25,Partial
194,2024,6611317.5,1190037.15,1002487.3,Partial
195,2024,5364291.0,965572.38,857042.04,Partial
196,2024,2389023.0,430024.14,364488.46,Partial
197,2024,6349567.5,1142922.15,920852.38,Partial
198,2024,6269281.5,1128470.67,791622.18,Partial
199,2024,4060350.0,730863.0,677583.09,Paid
200,2024,6617776.5,1191199.77,860165.35,Partial
201,2024,442185.0,22109.25,9095.75,Unpaid
202,2024,3836670.0,690600.6,327689.98,Unpaid
203,2024,4186098.0,753497.64,309386.13,Unpaid
204,2024,8792515.0,1582652.7,1503994.86,Paid
205,2024,6902268.0,1242408.24,977775.28,Partial
206,2024,2816228.0,506921.04,450956.96,Partial
207,2024,5665527.5,1019794.95,862236.63,Partial
208,2024,451695.0,22584.75,9442.68,Unpaid
209,2024,3011793.0,542122.74,267320.72,Unpaid
210,2024,6798484.5,1223727.21,560834.18,Unpaid
211,2024,4488084.0,807855.12,698067.61,Partial
212,2024,1358665.5,135866.55,133665.51,Paid
213,2024,4176585.0,751785.3,539932.2,Partial
214,2024,444223.5,22211.18,19703.53,Partial
215,2024,1297737.0,129773.7,126801.88,Paid
216,2024,5822560.5,1048060.89,945350.92,Paid
217,2024,9621428.0,1731857.04,1668817.44,Paid
218,2024,2506150.0,451107.0,214456.27,Unpaid
219,2024,3450907.5,621163.35,459847.23,Partial
220,2024,6432787.5,1157901.75,789688.99,Partial
221,2024,683473.0,68347.3,53495.43,Partial
222,2024,3613032.0,650345.76,372973.29,Partial
223,2024,7047139.5,1268485.11,1224214.98,Paid
224,2024,6686827.5,1203628.95,1109625.53,Paid
225,2024,3720278.0,669650.04,655051.67,Paid
226,2024,6988150.5,1257867.09,615851.73,Unpaid
227,2024,17696132.0,4424033.0,3645403.19,Partial
228,2024,4330041.0,779407.38,396250.71,Partial
229,2024,2787901.0,501822.18,332457.19,Partial
230,2024,1116459.0,111645.9,86637.22,Partial
231,2024,5490732.5,988331.85,427058.19,Unpaid
232,2024,4719759.0,849556.62,443468.56,Partial
233,2024,14775988.0,3693997.0,3371880.46,Paid
234,2024,3363930.0,605507.4,354040.18,Partial
235,2024,2228802.0,401184.36,182057.46,Unpaid
236,2024,396309.0,19815.45,19339.88,Paid
237,2024,1890628.0,189062.8,131795.68,Partial
238,2024,6725400.0,1210572.0,504445.35,Unpaid
239,2024,1218738.0,121873.8,98876.21,Partial
240,2024,12782127.0,3195531.75,2276816.37,Partial
241,2024,1739053.0,173905.3,133837.52,Partial
242,2024,1749072.0,174907.2,151417.16,Partial
243,2024,13767837.0,3441959.25,2101660.32,Partial
244,2024,6332451.0,1139841.18,608333.24,Partial
245,2024,3100603.5,558108.63,554201.87,Paid
246,2024,2793607.5,502849.35,412537.61,Partial
247,2024,6050014.5,1089002.61,918138.1,Partial
248,2024,7449646.5,1340936.37,644856.3,Unpaid
249,2024,6835856.0,1230454.08,1058190.51,Partial
250,2024,6278875.5,1130197.59,855559.58,Partial
251,2024,2613018.0,470343.24,295610.73,Partial
252,2024,2508898.5,451601.73,199111.2,Unpaid
253,2024,3433815.0,618086.7,578220.11,Paid
254,2024,3939708.0,709147.44,343014.62,Unpaid
255,2024,3718188.0,669273.84,481877.16,Partial
256,2024,3098724.0,557770.32,314080.47,Partial
257,2024,3279214.0,590258.52,330426.72,Partial
258,2024,1703468.0,170346.8,68888.25,Unpaid
259,2024,10269720.0,2567430.0,2194639.16,Partial
260,2024,4546450.5,818361.09,337819.46,Unpaid
261,2024,1079757.0,107975.7,63489.71,Partial
262,2024,567801.0,56780.1,48018.93,Partial
263,2024,989585.0,98958.5,52131.34,Partial
264,2024,786458.0,78645.8,62248.15,Partial
265,2024,5868016.0,1056242.88,1044835.46,Paid
266,2024,6973984.5,1255317.21,1098277.03,Partial
267,2024,12219195.0,3054798.75,1575970.68,Partial
268,2024,9203644.0,1656655.92,1196602.57,Partial
269,2024,6557956.5,1180432.17,934902.28,Partial
270,2024,331938.0,16596.9,12349.75,Partial
271,2024,4267002.0,768060.36,743866.46,Paid
272,2024,16593480.0,4148370.0,2613058.26,Partial
273,2024,4907397.0,883331.46,381775.86,Unpaid
274,2024,7269505.5,1308510.99,1091036.46,Partial
275,2024,3607012.0,649262.16,596931.63,Paid
276,2024,5023894.5,904301.01,800577.68,Partial
277,2024,1655436.0,165543.6,115632.2,Partial
278,2024,3304554.0,594819.72,247563.97,Unpaid
279,2024,3610383.0,649868.94,439311.4,Partial
280,2024,16604260.0,4151065.0,1767108.37,Unpaid
281,2024,5615266.5,1010747.97,784643.65,Partial
282,2024,4082604.0,734868.72,681370.28,Paid
283,2024,3501496.5,630269.37,561443.95,Partial
284,2024,6432793.5,1157902.83,652825.62,Partial
285,2024,2658890.0,478600.2,416334.31,Partial
286,2024,4598400.0,827712.0,745106.34,Paid
287,2024,9405020.0,1692903.6,803113.47,Unpaid
288,2024,916005.0,91600.5,75405.53,Partial
289,2024,3250067.0,585012.06,446305.7,Partial
290,2024,414091.5,20704.58,9931.98,Unpaid
291,2024,1672062.0,167206.2,105640.88,Partial
292,2024,9564476.0,1721605.68,1629671.94,Paid
293,2024,5560248.0,1000844.64,790467.1,Partial
294,2024,2303847.0,414692.46,365966.1,Partial
295,2024,3654703.0,657846.54,651268.07,Paid
296,2024,7077795.0,1274003.1,965312.15,Partial
297,2024,7027891.5,1265020.47,1184818.17,Paid
298,2024,690403.5,69040.35,55473.92,Partial
299,2024,9133356.0,1644004.08,1206370.19,Partial
300,2024,2112935.0,380328.3,292244.27,Partial
301,2024,804576.0,80457.6,60729.4,Partial
302,2024,3067869.0,552216.42,326636.01,Partial
303,2024,4785805.5,861444.99,795286.01,Paid
304,2024,1112376.0,111237.6,44517.29,Unpaid
305,2024,1183892.0,118389.2,64581.31,Partial
306,2024,1686139.5,168613.95,131586.33,Partial
307,2024,3645352.5,656163.45,357149.77,Partial
308,2024,4302634.5,774474.21,487454.07,Partial
309,2024,906131.0,90613.1,72128.03,Partial
310,2024,4314098.0,776537.64,526958.44,Partial
311,2024,2818860.0,507394.8,247304.23,Unpaid
312,2024,6265556.0,1127800.08,898518.32,Partial
313,2024,2469815.0,444566.7,226995.76,Partial
314,2024,6353386.5,1143609.57,1050405.39,Paid
315,2024,6793228.5,1222781.13,1033494.61,Partial
316,2024,7917422.0,1425135.96,1410742.09,Paid
317,2024,2899188.0,521853.84,330646.59,Partial
318,2024,6103567.5,1098642.15,660393.8,Partial
319,2024,2762328.0,497219.04,430492.24,Partial
320,2024,10045984.0,2511496.0,1687725.31,Partial
321,2024,3568005.0,642240.9,506920.74,Partial
322,2024,2510418.0,451875.24,230049.68,Partial
323,2024,3359694.0,604744.92,590533.41,Paid
324,2024,7023346.5,1264202.37,662442.04,Partial
325,2024,6366795.0,1146023.1,842212.38,Partial
326,2024,4055282.0,729950.76,539068.64,Partial
327,2024,3514477.5,632605.95,527087.28,Partial
328,2024,6247434.0,1124538.12,916386.11,Partial
329,2024,7342089.0,1321576.02,788320.1,Partial
330,2024,4696557.0,845380.26,410939.34,Unpaid
331,2024,5822704.5,1048086.81,674024.63,Partial
332,2024,8908260.0,1603486.8,1461738.57,Paid
333,2024,2338282.5,420890.85,387640.47,Paid
334,2024,3803653.5,684657.63,641044.94,Paid
335,2024,2242638.0,403674.84,289555.96,Partial
336,2024,3298059.0,593650.62,521225.24,Partial
337,2024,1336617.0,133661.7,119827.71,Partial
338,2024,2947813.5,530606.43,346379.88,Partial
339,2024,18606260.0,4651565.0,3771954.06,Partial
340,2024,7307908.0,1315423.44,1179014.03,Partial
341,2024,19313464.0,4828366.0,3599546.85,Partial
342,2024,3409940.0,613789.2,353972.23,Partial
343,2024,7113291.0,1280392.38,1153889.61,Paid
344,2024,12261355.0,3065338.75,2190184.54,Partial
345,2024,3587695.5,645785.19,285437.05,Unpaid
346,2024,6589090.5,1186036.29,575702.02,Unpaid
347,2024,6780324.0,1220458.32,534804.84,Unpaid
348,2024,4885296.0,879353.28,727664.84,Partial
349,2024,3623051.0,652149.18,651497.03,Paid
350,2024,11993352.5,2998338.12,2876905.43,Paid
351,2024,5347696.0,962585.28,713083.18,Partial
352,2024,5254567.5,945822.15,766494.27,Partial
353,2024,14064548.0,3516137.0,1510180.84,Unpaid
354,2024,3989710.5,718147.89,383419.16,Partial
355,2024,3678553.0,662139.54,408407.67,Partial
356,2024,4207522.0,757353.96,330812.21,Unpaid
357,2024,803347.5,80334.75,50313.65,Partial
358,2024,1914164.0,191416.4,161498.02,Partial
359,2024,6576792.0,1183822.56,705439.86,Partial
360,2024,4522759.0,814096.62,581346.4,Partial
361,2024,3505290.0,630952.2,595934.35,Paid
362,2024,1207477.5,120747.75,92009.79,Partial
363,2024,16707692.0,4176923.0,1811949.2,Unpaid
364,2024,362208.0,18110.4,7372.74,Unpaid
365,2024,9445644.0,1700215.92,1351671.66,Partial
366,2024,5152384.5,927429.21,442569.22,Unpaid
367,2024,2001079.5,360194.31,200952.41,Partial
368,2024,3332979.0,599936.22,386118.95,Partial
369,2024,3623034.0,652146.12,317203.87,Unpaid
370,2024,7263609.0,1307449.62,614762.81,Unpaid
371,2024,10493157.5,2623289.38,1293806.32,Unpaid
372,2024,4977328.0,895919.04,832219.2,Paid
373,2024,3152324.0,567418.32,533316.48,Paid
374,2024,3311623.0,596092.14,548643.21,Paid
375,2024,1644948.0,164494.8,95555.03,Partial
376,2024,7163619.0,1289451.42,832469.84,Partial
377,2024,4639770.0,835158.6,394194.86,Unpaid
378,2024,4380961.5,788573.07,457135.81,Partial
379,2024,5671094.0,1020796.92,829907.9,Partial
380,2024,1521537.0,152153.7,145550.23,Paid
381,2024,1519206.0,151920.6,116188.87,Partial
382,2024,3443670.0,619860.6,485040.92,Partial
383,2024,450110.0,22505.5,17808.6,Partial
384,2024,18548672.0,4637168.0,3033635.31,Partial
385,2024,17984404.0,4496101.0,2046625.18,Unpaid
386,2024,3794640.0,683035.2,405927.82,Partial
387,2024,7147131.0,1286483.58,685181.15,Partial
388,2024,886992.0,88699.2,52997.77,Partial
389,2024,5667151.5,1020087.27,781182.83,Partial
390,2024,9338790.0,1680982.2,1531374.78,Paid
391,2024,259964.0,12998.2,7328.39,Partial
392,2024,4574508.0,823411.44,675609.09,Partial
393,2024,549366.0,54936.6,50003.29,Paid
394,2024,14111076.0,3527769.0,2661701.71,Partial
395,2024,4536534.0,816576.12,531999.34,Partial
396,2024,2628254.0,473085.72,269516.93,Partial
397,2024,5043618.0,907851.24,833498.22,Paid
398,2024,682452.5,68245.25,62649.14,Paid
399,2024,1393168.5,139316.85,76805.38,Partial
400,2024,11832285.0,2958071.25,1597654.28,Partial
401,2024,5496109.5,989299.71,552721.75,Partial
402,2024,6966884.0,1254039.12,1108946.79,Partial
403,2024,3884808.0,699265.44,405783.73,Partial
404,2024,15291452.0,3822863.0,3490656.21,Paid
405,2024,3888480.0,699926.4,648761.78,Paid
406,2024,5048199.0,908675.82,781097.73,Partial
407,2024,2305054.5,414909.81,278072.55,Partial
408,2024,1792842.0,179284.2,144646.49,Partial
409,2024,7420011.0,1335601.98,909144.27,Partial
410,2024,4358608.5,784549.53,561345.19,Partial
411,2024,4340076.0,781213.68,370764.01,Unpaid
412,2024,1681487.0,168148.7,115921.71,Partial
413,2024,6501165.0,1170209.7,909018.89,Partial
414,2024,1001956.0,100195.6,65537.94,Partial
415,2024,13432953.0,3358238.25,1506505.68,Unpaid
416,2024,3755853.0,676053.54,407863.1,Partial
417,2024,6051385.0,1089249.3,829463.34,Partial
418,2024,2456193.0,442114.74,233878.7,Partial
419,2024,6062860.0,1091314.8,1045697.84,Paid
420,2024,4811238.0,866022.84,717499.92,Partial
421,2024,1928067.0,192806.7,129623.94,Partial
422,2024,4566289.5,821932.11,365759.79,Unpaid
423,2024,3886295.0,699533.1,336895.14,Unpaid
424,2024,2112006.0,380161.08,294624.84,Partial
425,2024,4017226.0,723100.68,444779.23,Partial
426,2024,715825.0,71582.5,34323.81,Unpaid
427,2024,3816826.0,687028.68,340560.12,Unpaid
428,2024,12129522.5,3032380.62,2070509.49,Partial
429,2024,1896447.0,189644.7,109216.38,Partial
430,2024,1136695.0,113669.5,68485.87,Partial
431,2024,5812408.5,1046233.53,428014.14,Unpaid
432,2024,984577.5,98457.75,46078.23,Unpaid
433,2024,1814403.0,181440.3,147347.67,Partial
434,2024,3813718.0,686469.24,552607.74,Partial
435,2024,1768978.0,176897.8,89864.08,Partial
436,2024,3108012.0,559442.16,446211.07,Partial
437,2024,7204323.0,1296778.14,1187200.39,Paid
438,2024,4392675.0,790681.5,363950.69,Unpaid
439,2024,2881365.0,518645.7,304496.89,Partial
440,2024,10805820.0,2701455.0,2331085.52,Partial
441,2024,9380284.0,1688451.12,1632056.85,Paid
442,2024,19622240.0,4905560.0,3694377.24,Partial
443,2024,16449240.0,4112310.0,3007743.53,Partial
444,2024,5418972.0,975414.96,420598.93,Unpaid
445,2024,1680465.0,168046.5,88678.14,Partial
446,2024,2861436.0,515058.48,330822.06,Partial
447,2024,2232220.5,401799.69,372669.21,Paid
448,2024,694085.0,69408.5,44629.67,Partial
449,2024,5592327.0,1006618.86,823212.9,Partial
450,2024,4431367.0,797646.06,406799.49,Partial
451,2024,4977544.5,895958.01,839602.25,Paid
452,2024,804344.0,80434.4,61508.19,Partial
453,2024,5952649.5,1071476.91,715960.87,Partial
454,2024,6226909.5,1120843.71,504940.09,Unpaid
455,2024,1008126.0,100812.6,88170.7,Partial
456,2024,12282162.0,3070540.5,1351958.98,Unpaid
457,2024,4255563.0,766001.34,420381.54,Partial
458,2024,1379146.5,137914.65,112055.65,Partial
459,2024,4038405.0,726912.9,499679.93,Partial
460,2024,1251625.0,125162.5,97188.68,Partial
461,2024,1031428.5,103142.85,48869.08,Unpaid
462,2024,10419048.0,2604762.0,2420084.37,Paid
463,2024,483103.5,24155.18,14468.95,Partial
464,2024,2323998.0,418319.64,328841.07,Partial
465,2024,7369258.5,1326466.53,748259.77,Partial
466,2024,5661279.0,1019030.22,724632.39,Partial
467,2024,5800782.0,1044140.76,822782.92,Partial
468,2024,3898321.5,701697.87,523115.76,Partial
469,2024,4614199.0,830555.82,796004.7,Paid
470,2024,5086604.0,915588.72,485445.14,Partial
471,2024,3455586.0,622005.48,527274.05,Partial
472,2024,5067963.0,912233.34,819641.66,Partial
473,2024,2485170.0,447330.6,283115.54,Partial
474,2024,3854554.0,693819.72,316243.03,Unpaid
475,2024,8886058.0,1599490.44,1582055.99,Paid
476,2024,3760938.0,676968.84,417012.81,Partial
477,2024,8079512.0,1454312.16,643533.13,Unpaid
478,2024,4602822.0,828507.96,354684.26,Unpaid
479,2024,7189554.0,1294119.72,817107.19,Partial
480,2024,1168879.5,116887.95,87490.63,Partial
481,2024,5415270.0,974748.6,819178.72,Partial
482,2024,2192150.0,394587.0,385590.42,Paid
483,2024,11391900.0,2847975.0,2847405.41,Paid
484,2024,7254844.5,1305872.01,945973.68,Partial
485,2024,4586932.5,825647.85,450886.29,Partial
486,2024,2550118.5,459021.33,382318.87,Partial
487,2024,6441132.0,1159403.76,804510.27,Partial
488,2024,2759638.0,496734.84,314830.54,Partial
489,2024,2773794.0,499282.92,486651.06,Paid
490,2024,5870584.0,1056705.12,835114.06,Partial
491,2024,4289293.5,772072.83,445717.64,Partial
492,2024,1755785.0,175578.5,119516.28,Partial
493,2024,416651.0,20832.55,19961.75,Paid
494,2024,6288764.0,1131977.52,913845.45,Partial
495,2024,2810853.0,505953.54,324923.36,Partial
496,2024,4583512.5,825032.25,603923.61,Partial
497,2024,666105.0,66610.5,49444.97,Partial
498,2024,3597954.0,647631.72,605794.71,Paid
499,2024,8640518.0,1555293.24,873763.74,Partial
500,2024,11055668.0,2763917.0,2426166.34,Partial
501,2024,2554347.0,459782.46,446448.77,Paid
502,2024,17038428.0,4259607.0,2793450.27,Partial
503,2024,1898048.0,189804.8,109840.04,Partial
504,2024,3731224.0,671620.32,669202.49,Paid
505,2024,5880052.5,1058409.45,962623.39,Paid
506,2024,5612742.0,1010293.56,872893.64,Partial
507,2024,3268104.0,588258.72,365132.19,Partial
508,2024,4111612.5,740090.25,588075.71,Partial
509,2024,10505024.0,2626256.0,1471491.24,Partial
510,2024,8019200.0,1443456.0,1020956.43,Partial
511,2024,4184238.0,753162.84,737948.95,Paid
512,2024,2892815.0,520706.7,263894.16,Partial
513,2024,18011456.0,4502864.0,4460086.79,Paid
514,2024,4444263.0,799967.34,563257.0,Partial
515,2024,6060951.0,1090971.18,1037949.98,Paid
516,2024,1283312.0,128331.2,104281.93,Partial
517,2024,16842108.0,4210527.0,3669053.23,Partial
518,2024,5943915.0,1069904.7,1029676.28,Paid
519,2024,2112348.0,380222.64,310299.7,Partial
520,2024,14874216.0,3718554.0,2395492.49,Partial
521,2024,3396838.5,611430.93,496053.91,Partial
522,2024,5463274.5,983389.41,449900.66,Unpaid
523,2024,631567.5,63156.75,29885.77,Unpaid
524,2024,5556877.5,1000237.95,691864.59,Partial
525,2024,409344.0,20467.2,12517.74,Partial
526,2024,4447500.0,800550.0,374977.62,Unpaid
527,2024,6860815.5,1234946.79,1210247.85,Paid
528,2024,1347169.5,134716.95,80318.25,Partial
529,2024,1855706.0,185570.6,148475.04,Partial
530,2024,6184143.0,1113145.74,952296.18,Partial
531,2024,4456950.0,802251.0,591018.31,Partial
532,2024,1556853.0,155685.3,105585.77,Partial
533,2024,1565848.0,156584.8,144120.65,Paid
534,2024,3188332.0,573899.76,407296.66,Partial
535,2024,3860392.5,694870.65,502321.99,Partial
536,2024,12425165.0,3106291.25,2079661.99,Partial
537,2024,4624495.5,832409.19,769562.3,Paid
538,2024,4959384.0,892689.12,630506.33,Partial
539,2024,1839978.0,183997.8,141015.91,Partial
540,2024,6084436.0,1095198.48,1006815.96,Paid
